Milestone 21 allocation baseline: M20 merge commit b3dfe96
Command: go test ./internal/kv ./internal/raft -run '^$' -bench 'BenchmarkAllocation|BenchmarkRaftLogScalingAppendOne|BenchmarkRaftLogScalingMutations|BenchmarkRaftLogScalingRead|BenchmarkFollowerLogPersistenceCatchUp' -benchmem -benchtime=5x -count=3

goos: linux
goarch: amd64
pkg: quorumkv/internal/kv
cpu: 11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz
BenchmarkAllocationFingerprint/value=16B-12         	       5	       911.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkAllocationFingerprint/value=16B-12         	       5	       684.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkAllocationFingerprint/value=16B-12         	       5	      3639 ns/op	       0 B/op	       0 allocs/op
BenchmarkAllocationFingerprint/value=1024B-12       	       5	      1068 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAllocationFingerprint/value=1024B-12       	       5	       898.4 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAllocationFingerprint/value=1024B-12       	       5	      1002 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAllocationFingerprint/value=16384B-12      	       5	     17134 ns/op	   18432 B/op	       1 allocs/op
BenchmarkAllocationFingerprint/value=16384B-12      	       5	     12780 ns/op	   18432 B/op	       1 allocs/op
BenchmarkAllocationFingerprint/value=16384B-12      	       5	     13237 ns/op	   18432 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/encode/value=16B-12 	       5	       912.2 ns/op	      64 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/encode/value=16B-12 	       5	       823.6 ns/op	      64 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/encode/value=16B-12 	       5	      1036 ns/op	      64 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/decode/value=16B-12 	       5	      2168 ns/op	      19 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/decode/value=16B-12 	       5	       837.0 ns/op	      19 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/decode/value=16B-12 	       5	       631.6 ns/op	      19 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/encode/value=1024B-12         	       5	      1219 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/encode/value=1024B-12         	       5	      1003 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/encode/value=1024B-12         	       5	       933.6 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/decode/value=1024B-12         	       5	       953.8 ns/op	    1027 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/decode/value=1024B-12         	       5	       863.4 ns/op	    1027 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/decode/value=1024B-12         	       5	       836.0 ns/op	    1027 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/encode/value=16384B-12        	       5	      2172 ns/op	   18432 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/encode/value=16384B-12        	       5	      1651 ns/op	   18432 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/encode/value=16384B-12        	       5	      1836 ns/op	   18432 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/decode/value=16384B-12        	       5	      1859 ns/op	   16387 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/decode/value=16384B-12        	       5	      1643 ns/op	   16387 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/decode/value=16384B-12        	       5	      1935 ns/op	   16387 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=16B-12               	       5	       245.2 ns/op	      19 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=16B-12               	       5	       149.4 ns/op	      19 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=16B-12               	       5	       217.0 ns/op	      19 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=1024B-12             	       5	       202.4 ns/op	    1027 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=1024B-12             	       5	       193.2 ns/op	    1027 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=1024B-12             	       5	       151.0 ns/op	    1027 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=16384B-12            	       5	      6209 ns/op	   16387 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=16384B-12            	       5	      3032 ns/op	   16387 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=16384B-12            	       5	      1554 ns/op	   16387 B/op	       2 allocs/op
PASS
ok  	quorumkv/internal/kv	0.013s
goos: linux
goarch: amd64
pkg: quorumkv/internal/raft
cpu: 11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz
BenchmarkAllocationEntryRecord/command=16B-12         	       5	       303.0 ns/op	      96 B/op	       2 allocs/op
BenchmarkAllocationEntryRecord/command=16B-12         	       5	       186.0 ns/op	      96 B/op	       2 allocs/op
BenchmarkAllocationEntryRecord/command=16B-12         	       5	       202.0 ns/op	      96 B/op	       2 allocs/op
BenchmarkAllocationEntryRecord/command=1024B-12       	       5	       413.4 ns/op	    2304 B/op	       2 allocs/op
BenchmarkAllocationEntryRecord/command=1024B-12       	       5	       307.6 ns/op	    2304 B/op	       2 allocs/op
BenchmarkAllocationEntryRecord/command=1024B-12       	       5	       332.6 ns/op	    2304 B/op	       2 allocs/op
BenchmarkAllocationEntryRecord/command=16384B-12      	       5	      4434 ns/op	   36864 B/op	       2 allocs/op
BenchmarkAllocationEntryRecord/command=16384B-12      	       5	      3266 ns/op	   36864 B/op	       2 allocs/op
BenchmarkAllocationEntryRecord/command=16384B-12      	       5	      4807 ns/op	   36864 B/op	       2 allocs/op
BenchmarkAllocationEntryRecord/command=262144B-12     	       5	    111151 ns/op	  540672 B/op	       2 allocs/op
BenchmarkAllocationEntryRecord/command=262144B-12     	       5	     84581 ns/op	  540672 B/op	       2 allocs/op
BenchmarkAllocationEntryRecord/command=262144B-12     	       5	     78817 ns/op	  540672 B/op	       2 allocs/op
BenchmarkAllocationReplicationEncoding/entries-range-64-12         	       5	      9680 ns/op	   68224 B/op	      65 allocs/op
BenchmarkAllocationReplicationEncoding/entries-range-64-12         	       5	      5620 ns/op	   68224 B/op	      65 allocs/op
BenchmarkAllocationReplicationEncoding/entries-range-64-12         	       5	      5384 ns/op	   68224 B/op	      65 allocs/op
BenchmarkAllocationReplicationEncoding/encode-append-entries-64-12 	       5	      8293 ns/op	   73728 B/op	       1 allocs/op
BenchmarkAllocationReplicationEncoding/encode-append-entries-64-12 	       5	     18448 ns/op	   73728 B/op	       1 allocs/op
BenchmarkAllocationReplicationEncoding/encode-append-entries-64-12 	       5	     15938 ns/op	   73728 B/op	       1 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=100/value=16B-12          	       5	      3475 ns/op	       945.0 fsync-ns	       185.0 logical-B	     16674 persist-ns	       310.0 physical-B	         1.676 write-amplification	     608 B/op	      11 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=25000/value=1024B-12      	       5	      4327 ns/op	       945.0 fsync-ns	      5225 logical-B	     20609 persist-ns	      5350 physical-B	         1.024 write-amplification	    4832 B/op	      10 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=25000/value=1024B-12      	       5	      4389 ns/op	       929.0 fsync-ns	      5225 logical-B	     20874 persist-ns	      5350 physical-B	         1.024 write-amplification	    4832 B/op	      10 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=50000/value=1024B-12      	       5	      4357 ns/op	       908.0 fsync-ns	      5225 logical-B	     20567 persist-ns	      5350 physical-B	         1.024 write-amplification	    4832 B/op	      10 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=50000/value=1024B-12      	       5	      4068 ns/op	       895.0 fsync-ns	      5225 logical-B	     19225 persist-ns	      5350 physical-B	         1.024 write-amplification	    4832 B/op	      10 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=50000/value=1024B-12      	       5	      4038 ns/op	       911.0 fsync-ns	      5225 logical-B	     19179 persist-ns	      5350 physical-B	         1.024 write-amplification	    4832 B/op	      10 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=100/value=16384B-12       	       5	     19038 ns/op	      1206 fsync-ns	     82025 logical-B	     94100 persist-ns	     82150 physical-B	         1.002 write-amplification	   72032 B/op	      10 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=100/value=16384B-12       	       5	     12678 ns/op	      1028 fsync-ns	     82025 logical-B	     62281 persist-ns	     82150 physical-B	         1.002 write-amplification	   72032 B/op	      10 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=100/value=16384B-12       	       5	     12985 ns/op	       992.0 fsync-ns	     82025 logical-B	     63892 persist-ns	     82150 physical-B	         1.002 write-amplification	   72032 B/op	      10 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=1000/value=16384B-12      	       5	     12354 ns/op	      1010 fsync-ns	     82025 logical-B	     60291 persist-ns	     82150 physical-B	         1.002 write-amplification	   72032 B/op	      10 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=1000/value=16384B-12      	       5	     11906 ns/op	       993.0 fsync-ns	     82025 logical-B	     58471 persist-ns	     82150 physical-B	         1.002 write-amplification	   72032 B/op	      10 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=1000/value=16384B-12      	       5	     12609 ns/op	       965.0 fsync-ns	     82025 logical-B	     61783 persist-ns	     82150 physical-B	         1.002 write-amplification	   72032 B/op	      10 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=5000/value=16384B-12      	       5	     14393 ns/op	      1041 fsync-ns	     82025 logical-B	     70478 persist-ns	     82150 physical-B	         1.002 write-amplification	   72032 B/op	      10 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=5000/value=16384B-12      	       5	     10262 ns/op	       953.0 fsync-ns	     82025 logical-B	     50026 persist-ns	     82150 physical-B	         1.002 write-amplification	   72032 B/op	      10 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=5000/value=16384B-12      	       5	     13523 ns/op	      2201 fsync-ns	     82025 logical-B	     66497 persist-ns	     82150 physical-B	         1.002 write-amplification	   72032 B/op	      10 allocs/op
BenchmarkRaftLogScalingMutations/append-batch/entries=100-12       	       5	     19736 ns/op	       524.0 fsync-ns	     66880 logical-B	     98136 persist-ns	     66905 physical-B	         1.000 write-amplification	  101744 B/op	      42 allocs/op
BenchmarkRaftLogScalingMutations/append-batch/entries=100-12       	       5	     13401 ns/op	       285.0 fsync-ns	     66880 logical-B	     66739 persist-ns	     66905 physical-B	         1.000 write-amplification	  101744 B/op	      42 allocs/op
BenchmarkRaftLogScalingMutations/append-batch/entries=100-12       	       5	     10483 ns/op	       280.0 fsync-ns	     66880 logical-B	     52156 persist-ns	     66905 physical-B	         1.000 write-amplification	  101744 B/op	      42 allocs/op
BenchmarkRaftLogScalingMutations/truncate-tail/entries=100-12      	       5	     20979 ns/op	         0 fsync-ns	     10450 logical-B	    101248 persist-ns	        33.00 physical-B	         0.003158 write-amplification	   50177 B/op	      43 allocs/op
BenchmarkRaftLogScalingMutations/truncate-tail/entries=100-12      	       5	     24724 ns/op	         0 fsync-ns	     10450 logical-B	    119703 persist-ns	        33.00 physical-B	         0.003158 write-amplification	   50177 B/op	      43 allocs/op
BenchmarkRaftLogScalingMutations/truncate-tail/entries=100-12      	       5	     25916 ns/op	         0 fsync-ns	     10450 logical-B	    124299 persist-ns	        33.00 physical-B	         0.003158 write-amplification	   50177 B/op	      43 allocs/op
BenchmarkRaftLogScalingMutations/truncate-deep/entries=100-12      	       5	     37719 ns/op	         0 fsync-ns	     10450 logical-B	    186077 persist-ns	     63176 physical-B	         6.046 write-amplification	   78430 B/op	      90 allocs/op
BenchmarkRaftLogScalingMutations/truncate-deep/entries=100-12      	       5	     54838 ns/op	         0 fsync-ns	     10450 logical-B	    267394 persist-ns	     63176 physical-B	         6.046 write-amplification	   78430 B/op	      90 allocs/op
BenchmarkRaftLogScalingMutations/truncate-deep/entries=100-12      	       5	     46440 ns/op	         0 fsync-ns	     10450 logical-B	    228167 persist-ns	     63176 physical-B	         6.046 write-amplification	   78430 B/op	      90 allocs/op
BenchmarkRaftLogScalingMutations/compact/entries=100-12            	       5	     34714 ns/op	         0 fsync-ns	        16.00 logical-B	    172670 persist-ns	     53546 physical-B	      3347 write-amplification	   71222 B/op	      81 allocs/op
BenchmarkRaftLogScalingMutations/compact/entries=100-12            	       5	     30104 ns/op	         0 fsync-ns	        16.00 logical-B	    149777 persist-ns	     53546 physical-B	      3347 write-amplification	   71222 B/op	      81 allocs/op
BenchmarkRaftLogScalingMutations/compact/entries=100-12            	       5	     32972 ns/op	         0 fsync-ns	        16.00 logical-B	    163955 persist-ns	     53546 physical-B	      3347 write-amplification	   71225 B/op	      81 allocs/op
BenchmarkRaftLogScalingMutations/append-batch/entries=1000-12      	       5	     21173 ns/op	       322.0 fsync-ns	     66880 logical-B	    105328 persist-ns	     66905 physical-B	         1.000 write-amplification	  112393 B/op	      42 allocs/op
BenchmarkRaftLogScalingMutations/append-batch/entries=1000-12      	       5	     55784 ns/op	       561.0 fsync-ns	     66880 logical-B	    278482 persist-ns	     66905 physical-B	         1.000 write-amplification	  112393 B/op	      42 allocs/op
BenchmarkRaftLogScalingMutations/append-batch/entries=1000-12      	       5	     28807 ns/op	       235.0 fsync-ns	     66880 logical-B	    143381 persist-ns	     66905 physical-B	         1.000 write-amplification	  112416 B/op	      42 allocs/op
BenchmarkRaftLogScalingMutations/truncate-tail/entries=1000-12     	       5	    244139 ns/op	         0 fsync-ns	     10450 logical-B	   1103615 persist-ns	        33.00 physical-B	         0.003158 write-amplification	  452264 B/op	     226 allocs/op
BenchmarkRaftLogScalingMutations/truncate-tail/entries=1000-12     	       5	     95310 ns/op	         0 fsync-ns	     10450 logical-B	    471550 persist-ns	        33.00 physical-B	         0.003158 write-amplification	  451542 B/op	     225 allocs/op
