Milestone 21 post-optimization focused allocation results
Command: go test ./internal/kv ./internal/raft -run '^$' -bench 'BenchmarkAllocation|BenchmarkRaftLogScalingAppendOne|BenchmarkRaftLogScalingMutations|BenchmarkRaftLogScalingRead|BenchmarkFollowerLogPersistenceCatchUp' -benchmem -benchtime=5x -count=3

goos: linux
goarch: amd64
pkg: quorumkv/internal/kv
cpu: 11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz
BenchmarkAllocationFingerprint/value=16B-12         	       5	       835.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkAllocationFingerprint/value=16B-12         	       5	       727.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkAllocationFingerprint/value=16B-12         	       5	       593.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkAllocationFingerprint/value=1024B-12       	       5	       792.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkAllocationFingerprint/value=1024B-12       	       5	       791.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkAllocationFingerprint/value=1024B-12       	       5	      1127 ns/op	       3 B/op	       0 allocs/op
BenchmarkAllocationFingerprint/value=16384B-12      	       5	      9674 ns/op	       0 B/op	       0 allocs/op
BenchmarkAllocationFingerprint/value=16384B-12      	       5	     11179 ns/op	       0 B/op	       0 allocs/op
BenchmarkAllocationFingerprint/value=16384B-12      	       5	      9624 ns/op	       0 B/op	       0 allocs/op
BenchmarkAllocationCommandCodec/encode/value=16B-12 	       5	       909.4 ns/op	      64 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/encode/value=16B-12 	       5	      1056 ns/op	      64 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/encode/value=16B-12 	       5	       764.6 ns/op	      64 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/decode/value=16B-12 	       5	       754.0 ns/op	      19 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/decode/value=16B-12 	       5	       828.6 ns/op	      19 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/decode/value=16B-12 	       5	       738.0 ns/op	      19 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/encode/value=1024B-12         	       5	      1038 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/encode/value=1024B-12         	       5	      3987 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/encode/value=1024B-12         	       5	      2626 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/decode/value=1024B-12         	       5	      1094 ns/op	    1027 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/decode/value=1024B-12         	       5	       986.6 ns/op	    1027 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/decode/value=1024B-12         	       5	       975.0 ns/op	    1027 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/encode/value=16384B-12        	       5	      5146 ns/op	   18432 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/encode/value=16384B-12        	       5	      2072 ns/op	   18432 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/encode/value=16384B-12        	       5	      4187 ns/op	   18432 B/op	       1 allocs/op
BenchmarkAllocationCommandCodec/decode/value=16384B-12        	       5	      3644 ns/op	   16387 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/decode/value=16384B-12        	       5	      1665 ns/op	   16387 B/op	       2 allocs/op
BenchmarkAllocationCommandCodec/decode/value=16384B-12        	       5	      3159 ns/op	   16387 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=16B-12               	       5	       244.8 ns/op	      19 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=16B-12               	       5	       264.0 ns/op	      19 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=16B-12               	       5	       156.8 ns/op	      19 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=1024B-12             	       5	       206.4 ns/op	    1027 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=1024B-12             	       5	       207.0 ns/op	    1027 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=1024B-12             	       5	       175.4 ns/op	    1027 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=16384B-12            	       5	      4059 ns/op	   16387 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=16384B-12            	       5	      2120 ns/op	   16387 B/op	       2 allocs/op
BenchmarkAllocationStateMachinePut/value=16384B-12            	       5	      3030 ns/op	   16387 B/op	       2 allocs/op
PASS
ok  	quorumkv/internal/kv	0.014s
goos: linux
goarch: amd64
pkg: quorumkv/internal/raft
cpu: 11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz
BenchmarkAllocationEntryRecord/command=16B-12         	       5	       265.2 ns/op	      48 B/op	       1 allocs/op
BenchmarkAllocationEntryRecord/command=16B-12         	       5	       264.0 ns/op	      48 B/op	       1 allocs/op
BenchmarkAllocationEntryRecord/command=16B-12         	       5	       204.0 ns/op	      48 B/op	       1 allocs/op
BenchmarkAllocationEntryRecord/command=1024B-12       	       5	       278.4 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAllocationEntryRecord/command=1024B-12       	       5	       360.6 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAllocationEntryRecord/command=1024B-12       	       5	       297.0 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAllocationEntryRecord/command=16384B-12      	       5	      3403 ns/op	   18432 B/op	       1 allocs/op
BenchmarkAllocationEntryRecord/command=16384B-12      	       5	      3219 ns/op	   18432 B/op	       1 allocs/op
BenchmarkAllocationEntryRecord/command=16384B-12      	       5	      1998 ns/op	   18432 B/op	       1 allocs/op
BenchmarkAllocationEntryRecord/command=262144B-12     	       5	     32542 ns/op	  270336 B/op	       1 allocs/op
BenchmarkAllocationEntryRecord/command=262144B-12     	       5	     80292 ns/op	  270336 B/op	       1 allocs/op
BenchmarkAllocationEntryRecord/command=262144B-12     	       5	     53709 ns/op	  270336 B/op	       1 allocs/op
BenchmarkAllocationReplicationEncoding/entries-range-64-12         	       5	     13230 ns/op	   68224 B/op	      65 allocs/op
BenchmarkAllocationReplicationEncoding/entries-range-64-12         	       5	      7067 ns/op	   68224 B/op	      65 allocs/op
BenchmarkAllocationReplicationEncoding/entries-range-64-12         	       5	     45230 ns/op	   68224 B/op	      65 allocs/op
BenchmarkAllocationReplicationEncoding/encode-append-entries-64-12 	       5	      6846 ns/op	   73728 B/op	       1 allocs/op
BenchmarkAllocationReplicationEncoding/encode-append-entries-64-12 	       5	     10862 ns/op	   73728 B/op	       1 allocs/op
BenchmarkAllocationReplicationEncoding/encode-append-entries-64-12 	       5	      9850 ns/op	   73728 B/op	       1 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=100/value=16B-12          	       5	      3622 ns/op	       965.0 fsync-ns	       185.0 logical-B	     17394 persist-ns	       310.0 physical-B	         1.676 write-amplification	     376 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=25000/value=1024B-12      	       5	      3558 ns/op	       879.0 fsync-ns	      5225 logical-B	     16501 persist-ns	      5350 physical-B	         1.024 write-amplification	    2472 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=25000/value=1024B-12      	       5	      6578 ns/op	       878.0 fsync-ns	      5225 logical-B	     18946 persist-ns	      5350 physical-B	         1.024 write-amplification	    2472 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=50000/value=1024B-12      	       5	      4024 ns/op	       902.0 fsync-ns	      5225 logical-B	     18837 persist-ns	      5350 physical-B	         1.024 write-amplification	    2472 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=50000/value=1024B-12      	       5	      4460 ns/op	       937.0 fsync-ns	      5225 logical-B	     21088 persist-ns	      5350 physical-B	         1.024 write-amplification	    2472 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=50000/value=1024B-12      	       5	      3974 ns/op	       987.0 fsync-ns	      5225 logical-B	     18671 persist-ns	      5350 physical-B	         1.024 write-amplification	    2472 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=100/value=16384B-12       	       5	     10747 ns/op	      1043 fsync-ns	     82025 logical-B	     52676 persist-ns	     82150 physical-B	         1.002 write-amplification	   35112 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=100/value=16384B-12       	       5	     12440 ns/op	      1814 fsync-ns	     82025 logical-B	     60466 persist-ns	     82150 physical-B	         1.002 write-amplification	   35112 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=100/value=16384B-12       	       5	     18823 ns/op	      1050 fsync-ns	     82025 logical-B	     93024 persist-ns	     82150 physical-B	         1.002 write-amplification	   35112 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=1000/value=16384B-12      	       5	      9815 ns/op	      1052 fsync-ns	     82025 logical-B	     47832 persist-ns	     82150 physical-B	         1.002 write-amplification	   35112 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=1000/value=16384B-12      	       5	     10691 ns/op	      1001 fsync-ns	     82025 logical-B	     52130 persist-ns	     82150 physical-B	         1.002 write-amplification	   35112 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=1000/value=16384B-12      	       5	      9861 ns/op	       993.0 fsync-ns	     82025 logical-B	     48115 persist-ns	     82150 physical-B	         1.002 write-amplification	   35112 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=5000/value=16384B-12      	       5	      8976 ns/op	       978.0 fsync-ns	     82025 logical-B	     43762 persist-ns	     82150 physical-B	         1.002 write-amplification	   35112 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=5000/value=16384B-12      	       5	      9253 ns/op	       917.0 fsync-ns	     82025 logical-B	     45182 persist-ns	     82150 physical-B	         1.002 write-amplification	   35112 B/op	       6 allocs/op
BenchmarkRaftLogScalingAppendOne/entries=5000/value=16384B-12      	       5	      8604 ns/op	       988.0 fsync-ns	     82025 logical-B	     41791 persist-ns	     82150 physical-B	         1.002 write-amplification	   35112 B/op	       6 allocs/op
BenchmarkRaftLogScalingMutations/append-batch/entries=100-12       	       5	      6990 ns/op	       243.0 fsync-ns	     66880 logical-B	     34493 persist-ns	     66905 physical-B	         1.000 write-amplification	   30897 B/op	      14 allocs/op
BenchmarkRaftLogScalingMutations/append-batch/entries=100-12       	       5	      8712 ns/op	       223.0 fsync-ns	     66880 logical-B	     43265 persist-ns	     66905 physical-B	         1.000 write-amplification	   30897 B/op	      14 allocs/op
BenchmarkRaftLogScalingMutations/append-batch/entries=100-12       	       5	      5933 ns/op	       247.0 fsync-ns	     66880 logical-B	     29379 persist-ns	     66905 physical-B	         1.000 write-amplification	   30897 B/op	      14 allocs/op
BenchmarkRaftLogScalingMutations/truncate-tail/entries=100-12      	       5	     18377 ns/op	         0 fsync-ns	     10450 logical-B	     89705 persist-ns	        33.00 physical-B	         0.003158 write-amplification	   50177 B/op	      43 allocs/op
BenchmarkRaftLogScalingMutations/truncate-tail/entries=100-12      	       5	     19035 ns/op	         0 fsync-ns	     10450 logical-B	     93087 persist-ns	        33.00 physical-B	         0.003158 write-amplification	   50177 B/op	      43 allocs/op
BenchmarkRaftLogScalingMutations/truncate-tail/entries=100-12      	       5	     18800 ns/op	         0 fsync-ns	     10450 logical-B	     91847 persist-ns	        33.00 physical-B	         0.003158 write-amplification	   50177 B/op	      43 allocs/op
BenchmarkRaftLogScalingMutations/truncate-deep/entries=100-12      	       5	     31705 ns/op	         0 fsync-ns	     10450 logical-B	    156435 persist-ns	     63176 physical-B	         6.046 write-amplification	   64553 B/op	      67 allocs/op
BenchmarkRaftLogScalingMutations/truncate-deep/entries=100-12      	       5	     40387 ns/op	         0 fsync-ns	     10450 logical-B	    198805 persist-ns	     63176 physical-B	         6.046 write-amplification	   64553 B/op	      67 allocs/op
BenchmarkRaftLogScalingMutations/truncate-deep/entries=100-12      	       5	     33284 ns/op	         0 fsync-ns	     10450 logical-B	    163854 persist-ns	     63176 physical-B	         6.046 write-amplification	   64553 B/op	      67 allocs/op
BenchmarkRaftLogScalingMutations/compact/entries=100-12            	       5	     30151 ns/op	         0 fsync-ns	        16.00 logical-B	    149862 persist-ns	     53546 physical-B	      3347 write-amplification	   59462 B/op	      61 allocs/op
BenchmarkRaftLogScalingMutations/compact/entries=100-12            	       5	     31900 ns/op	         0 fsync-ns	        16.00 logical-B	    158736 persist-ns	     53546 physical-B	      3347 write-amplification	   59465 B/op	      61 allocs/op
BenchmarkRaftLogScalingMutations/compact/entries=100-12            	       5	     30083 ns/op	         0 fsync-ns	        16.00 logical-B	    149691 persist-ns	     53546 physical-B	      3347 write-amplification	   59452 B/op	      61 allocs/op
BenchmarkRaftLogScalingMutations/append-batch/entries=1000-12      	       5	     12938 ns/op	       411.0 fsync-ns	     66880 logical-B	     63702 persist-ns	     66905 physical-B	         1.000 write-amplification	   41547 B/op	      14 allocs/op
BenchmarkRaftLogScalingMutations/append-batch/entries=1000-12      	       5	      7878 ns/op	       267.0 fsync-ns	     66880 logical-B	     38907 persist-ns	     66905 physical-B	         1.000 write-amplification	   41547 B/op	      14 allocs/op
BenchmarkRaftLogScalingMutations/append-batch/entries=1000-12      	       5	     10349 ns/op	       244.0 fsync-ns	     66880 logical-B	     51246 persist-ns	     66905 physical-B	         1.000 write-amplification	   41547 B/op	      14 allocs/op
BenchmarkRaftLogScalingMutations/truncate-tail/entries=1000-12     	       5	    167232 ns/op	         0 fsync-ns	     10450 logical-B	    827005 persist-ns	        33.00 physical-B	         0.003158 write-amplification	  453235 B/op	     226 allocs/op
BenchmarkRaftLogScalingMutations/truncate-tail/entries=1000-12     	       5	    138931 ns/op	         0 fsync-ns	     10450 logical-B	    688801 persist-ns	        33.00 physical-B	         0.003158 write-amplification	  453235 B/op	     226 allocs/op
BenchmarkRaftLogScalingMutations/truncate-tail/entries=1000-12     	       5	    204108 ns/op	         0 fsync-ns	     10450 logical-B	   1001939 persist-ns	        33.00 physical-B	         0.003158 write-amplification	  449948 B/op	     225 allocs/op
